company_name,item_name
Popingo's,vanilla
99 Market,tarragon
Fine Fare,lamb
G&R,romaine lettuce
Johns Country Store & Deli,spaghetti squash
Grade A Market Of Newfield Inc,halibut
Saraga Oriental Market,rhubarb
Dierbergs Bakeries,peanut butter
Geresbeck's,kumquats
Super Mercadolos Compadres,rice paper
Hickman's Iga Food Ctr,hot sauce
Village Super Market Inc,pea beans
Hoss's Country Corner,applesauce
Service Food Market Inc,chicken liver
G U Markets,hamburger
Slone's Signature Markets,cloves
Dunns Corner Market,red beans
Iga,Tabasco sauce
Shoreline Food Store,bok choy
Twin Rivers Foodland,chicken
People's Food CO-OP,flour
American Discount Foods,cocoa powder
Greg's Gourmet Grocery,venison
Redmond Grocery Outlet,Mandarin oranges
Oriental Marketplace,hash browns
Price Right,parsley
Bill's Shoprite Plaza,flax seed
West Farm Foods,quail
Tesoro,clams
Daley's Country Pantry,black-eyed peas
Base Exchange Food Court,sherry
Lavalette Foodfair,lentils
Charles Hood Grocers,turkeys
Bag N Save,scallops
H Mart Little Ferry,cranberries
Desert DE Oro Foods,sour cream
Food Town,shrimp
Greenfresh Market,curry leaves
Mrs Green's Natural Market,kiwi
Waugh Foods Inc,watermelons
Topco Associates Llc,orange peels
Buc-Ees,swordfish
South African Food Shop,rice vinegar
Buy For Less,water chestnuts
Busch's Valu Land,soy sauce
Hiller's Markets,red cabbage
Kenefick General Store,cream
Kittanning Foodland,vinegar
Supermarket Operations,chaurice sausage
Enola Super-Thrift,radishes
Village Market,pepper
Gristede's Foods Inc,cookies
South Hills Iga,cumin
Chippewa Bay Store,brown sugar
Marsh Supermarkets Inc,barley sugar
Hometown Favorites,mascarpone
Pigly Wiggly,sweet peppers
Ithan Food Market,pig's feet
Putney General Store,grouper
Joe's Parkway Supermarket,corn flour
Mariposa Food CO-OP,brazil nuts
Caribbean Market II,white chocolate
Cash Wise Foods,pomegranates
Skorski Foods,honeydew melons
Uwajimaya Inc,poultry seasoning
Central Grocers Coop Inc,raw sugar
Boyer's Iga Inc,garlic powder
Coats Iga,pistachios
Luckys,chutney
